configuration,trace,class,description
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:falseplaylistcontrol:falseremovetrack:falsetime:truewav:falsereorderplaylist:falsemp3:falseplaylist:falselight:truesaveandloadplaylist:falsechangelistener:falsequeuetrack:falseplaylistcontextmenu:falsemute:falseprogressbar:falsetageditor:falseshowtime:trueaac:falseloadfolder:falsemultipleplaylists:falseshowcover:falseplaylistmenu:falseshufflerepeat:falseogg:trueplaylisttabs:falseaddplaylistwrapper:falseskins:truedark:falseclearplaylist:false,"	at org.fest.swing.driver.ComponentStateValidator.componentNotShowingOnScreenFailure(ComponentStateValidator.java:87)
",FeatureAmp,playOGGTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:falseplaylistcontrol:falseremovetrack:falsetime:truewav:falsereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:falseprogressbar:truetageditor:falseshowtime:falseaac:falseloadfolder:truemultipleplaylists:falseshowcover:trueplaylistmenu:falseshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinLightTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:falseplaylistcontrol:trueremovetrack:falsetime:truewav:truereorderplaylist:truemp3:trueplaylist:truelight:falsesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:trueaac:falseloadfolder:truemultipleplaylists:trueshowcover:trueplaylistmenu:trueshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:trueclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinDarkTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:falseremovetrack:falsetime:truewav:falsereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:trueaac:trueloadfolder:truemultipleplaylists:falseshowcover:falseplaylistmenu:falseshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,progressBarTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:falseremovetrack:falsetime:truewav:falsereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:trueaac:trueloadfolder:truemultipleplaylists:falseshowcover:falseplaylistmenu:falseshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,playMP3Test(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:falseremovetrack:falsetime:truewav:falsereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:trueaac:trueloadfolder:truemultipleplaylists:falseshowcover:falseplaylistmenu:falseshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,volumecontrolTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:falseremovetrack:falsetime:truewav:falsereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:trueaac:trueloadfolder:truemultipleplaylists:falseshowcover:falseplaylistmenu:falseshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinLightTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:truereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:trueprogressbar:truetageditor:falseshowtime:falseaac:trueloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,loadplaylistTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:truereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:trueprogressbar:truetageditor:falseshowtime:falseaac:trueloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinLightTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:truereorderplaylist:falsemp3:trueplaylist:truelight:truesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:trueprogressbar:truetageditor:falseshowtime:falseaac:trueloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,saveandloadplaylistTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:falseplaylistcontrol:trueremovetrack:truetime:truewav:truereorderplaylist:truemp3:trueplaylist:truelight:falsesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:falseaac:trueloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:trueclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinDarkTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:falseplaylistcontrol:trueremovetrack:falsetime:truewav:falsereorderplaylist:falsemp3:trueplaylist:truelight:falsesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:falseaac:falseloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:trueclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinDarkTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:truereorderplaylist:truemp3:trueplaylist:truelight:truesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:trueprogressbar:truetageditor:falseshowtime:falseaac:falseloadfolder:truemultipleplaylists:trueshowcover:trueplaylistmenu:trueshufflerepeat:falseogg:trueplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:falseclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinLightTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:truereorderplaylist:truemp3:trueplaylist:truelight:falsesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:falseprogressbar:truetageditor:falseshowtime:trueaac:falseloadfolder:truemultipleplaylists:trueshowcover:trueplaylistmenu:trueshufflerepeat:falseogg:falseplaylisttabs:trueaddplaylistwrapper:trueskins:truedark:trueclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinDarkTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:falsereorderplaylist:truemp3:trueplaylist:truelight:truesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:trueprogressbar:truetageditor:falseshowtime:falseaac:trueloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:trueplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,loadplaylistTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:falsereorderplaylist:truemp3:trueplaylist:truelight:truesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:trueprogressbar:truetageditor:falseshowtime:falseaac:trueloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:trueplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinLightTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:trueplaylistcontrol:trueremovetrack:truetime:truewav:falsereorderplaylist:truemp3:trueplaylist:truelight:truesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:trueprogressbar:truetageditor:falseshowtime:falseaac:trueloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:trueplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,saveandloadplaylistTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:truevolumecontrol:falseplaylistcontrol:trueremovetrack:falsetime:truewav:truereorderplaylist:truemp3:trueplaylist:truelight:falsesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:falseaac:trueloadfolder:truemultipleplaylists:falseshowcover:falseplaylistmenu:falseshufflerepeat:trueogg:trueplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:trueclearplaylist:false,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,changeSkinDarkTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:falseplaylistcontrol:trueremovetrack:truetime:truewav:falsereorderplaylist:truemp3:falseplaylist:truelight:truesaveandloadplaylist:truechangelistener:truequeuetrack:falseplaylistcontextmenu:falsemute:falseprogressbar:truetageditor:falseshowtime:trueaac:falseloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:trueogg:trueplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,playOGGTest(testset.AppGUITest)
featureamp:truegui:truefilesupport:truebase:trueskiptrack:falsevolumecontrol:falseplaylistcontrol:trueremovetrack:truetime:truewav:falsereorderplaylist:truemp3:falseplaylist:truelight:truesaveandloadplaylist:falsechangelistener:truequeuetrack:falseplaylistcontextmenu:truemute:falseprogressbar:truetageditor:trueshowtime:trueaac:falseloadfolder:truemultipleplaylists:trueshowcover:falseplaylistmenu:trueshufflerepeat:falseogg:trueplaylisttabs:trueaddplaylistwrapper:falseskins:truedark:falseclearplaylist:true,"	at javax.swing.JTabbedPane.checkIndex(Unknown Source)
",FeatureAmp,playOGGTest(testset.AppGUITest)
